# Cell-jet matching calibration data
# Energy bins: 1-1.5, 1.5-2, 2-3, 3-4, 4-5, 5-10, >10 GeV
# Format: detector_layer_type: value1, value2, value3, value4, value5, value6, value7

# Barrel Layer 1 (EMB1)
EMB1_params: 44.0004, 36.1672, 27.7946, 22.8566, 18.6052, 13.5979, 8.63018
EMB1_sigma: 428.908, 299.433, 210.949, 149.052, 117.804, 107.251, 57.5941

# Barrel Layer 2 (EMB2)
EMB2_params: -37.6927, -4.76502, 18.4064, 28.5538, 23.8885, 26.6632, 18.3774
EMB2_sigma: 2167.48, 1507, 1056.7, 736.56, 562.19, 360.442, 145.808

# Barrel Layer 3 (EMB3)
EMB3_params: 76.9224, 96.6823, 61.8036, 59.5018, 60.5852, 42.9381, 42.8869
EMB3_sigma: 1328.7, 937.662, 707.828, 488.065, 405.723, 280.358, 166.422

# Endcap Layer 1 (EME1)
EME1_params: 110.994, 91.5183, 77.769, 60.8697, 52.896, 39.3309, 20.7378
EME1_sigma: 1076.77, 768.73, 570.185, 404.887, 301.699, 207.33, 104.583

# Endcap Layer 2 (EME2)
EME2_params: 140.013, 135.814, 118.308, 101.373, 87.0022, 71.9089, 37.0023
EME2_sigma: 1759.24, 1295.54, 939.963, 680.803, 537.385, 353.075, 112.837

# Endcap Layer 3 (EME3)
EME3_params: 125.077, 103.004, 88.0972, 68.0425, 54.7863, 56.1797, 38.8708
EME3_sigma: 1197.23, 856.656, 625.128, 439.311, 356.805, 224.769, 101.193
