# Multi-input model calibration data (no jet/track matching)
# Energy bins: 1-1.5, 1.5-2, 2-3, 3-4, 4-5, 5-10, >10 GeV
# Format: detector_layer_type: value1, value2, value3, value4, value5, value6, value7

# Barrel Layer 1 (EMB1)
EMB1_params: 43.7295, 35.7214, 27.8916, 22.7914, 18.7999, 13.6416, 8.38867
EMB1_sigma: 429.494, 299.577, 210.759, 148.779, 117.356, 107.224, 58.2558

# Barrel Layer 2 (EMB2)
EMB2_params: -38.4946, -6.0501, 17.712, 27.7137, 22.916, 25.9662, 18.4498
EMB2_sigma: 2169.15, 1507.89, 1058.47, 736.912, 563.171, 361.537, 145.828

# Barrel Layer 3 (EMB3)
EMB3_params: 77, 97.8707, 62.5646, 60.6678, 60.5333, 44.3077, 42.0982
EMB3_sigma: 1330.43, 937.263, 712.241, 491.431, 404.458, 283.305, 167.231

# Endcap Layer 1 (EME1)
EME1_params: 110.762, 91.2157, 78.2725, 59.8991, 52.3744, 39.3877, 20.5152
EME1_sigma: 1078.88, 768.96, 571.534, 406.757, 302.185, 207.768, 106.726

# Endcap Layer 2 (EME2)
EME2_params: 139.8, 135.34, 118.115, 100.96, 86.2284, 71.7498, 36.9509
EME2_sigma: 1759.41, 1296.14, 940.337, 681.157, 537.594, 354.015, 113.001

# Endcap Layer 3 (EME3)
EME3_params: 123.66, 102.546, 87.1047, 66.8721, 55.2002, 56.1784, 38.5225
EME3_sigma: 1196.9, 856.584, 625.558, 442.021, 356.891, 226.194, 100.985
